Subfield,Bin 1 (90-100th %),Bin 2 (50-90th %),Bin 3 (10-50th %),Bin 4 (0-10th %)
General_Agricultural_and_Biological_Sciences,"[13138, 28]","[28, 7]","[7, 3]","[3, 0]"
General_Arts_and_Humanities,"[2245, 9]","[9, 3]","[3, 0]","[1, 0]"
General_Decision_Sciences,"[69500, 189]","[189, 41]","[41, 15]","[15, 0]"
General_Dentistry,"[3208, 37]","[37, 10]","[10, 4]","[4, 0]"
General_Economics_Econometrics_and_Finance,"[51439, 63]","[63, 12]","[12, 4]","[4, 0]"
General_Energy,"[4037, 29]","[29, 7]","[7, 3]","[3, 0]"
General_Engineering,"[513, 8]","[8, 3]","[3, 2]","[2, 0]"
General_Health_Professions,"[106911, 77]","[77, 17]","[17, 6]","[6, 0]"
General_Materials_Science,"[12978, 22]","[22, 6]","[6, 3]","[3, 0]"
General_Psychology,"[7179, 62]","[62, 15]","[15, 6]","[6, 0]"
General_Social_Sciences,"[5327, 16]","[16, 4]","[4, 2]","[2, 0]"
Genetics,"[229945, 218]","[218, 49]","[49, 17]","[17, 0]"
Geochemistry_and_Petrology,"[12869, 105]","[105, 27]","[27, 10]","[10, 0]"
Geography_Planning_and_Development,"[15229, 37]","[37, 8]","[8, 3]","[3, 0]"
Geology,"[11406, 48]","[48, 11]","[11, 4]","[4, 0]"
Geometry_and_Topology,"[13968, 114]","[114, 25]","[25, 9]","[9, 0]"
Geophysics,"[60920, 226]","[226, 42]","[42, 14]","[14, 0]"
Geriatrics_and_Gerontology,"[42598, 128]","[128, 34]","[34, 13]","[13, 0]"
Global_and_Planetary_Change,"[105481, 193]","[193, 39]","[39, 13]","[13, 0]"
Hardware_and_Architecture,"[36389, 89]","[89, 18]","[18, 7]","[7, 0]"
Health,"[64907, 113]","[113, 27]","[27, 10]","[10, 0]"
Health_Informatics,"[6546, 63]","[63, 16]","[16, 6]","[6, 0]"
Health_Information_Management,"[22916, 44]","[44, 10]","[10, 4]","[4, 0]"
Health_Toxicology_and_Mutagenesis,"[97265, 171]","[171, 43]","[43, 17]","[17, 0]"
Hematology,"[113063, 180]","[180, 41]","[41, 15]","[15, 0]"
Hepatology,"[82575, 183]","[183, 43]","[43, 16]","[16, 0]"
History,"[17589, 30]","[30, 6]","[6, 3]","[3, 0]"
History_and_Philosophy_of_Science,"[36844, 35]","[35, 7]","[7, 3]","[3, 0]"
Horticulture,"[3533, 68]","[68, 17]","[17, 6]","[6, 0]"
Human_Computer_Interaction,"[23804, 74]","[74, 17]","[17, 7]","[7, 0]"
Human_Factors_and_Ergonomics,"[20045, 30]","[30, 7]","[7, 3]","[3, 0]"
Immunology,"[210759, 282]","[282, 65]","[65, 24]","[24, 0]"
Immunology_and_Allergy,"[67345, 181]","[181, 51]","[51, 22]","[22, 0]"
Industrial_and_Manufacturing_Engineering,"[37072, 69]","[69, 16]","[16, 6]","[6, 0]"
Industrial_relations,"[385, 9]","[9, 3]","[3, 2]","[2, 0]"
Infectious_Diseases,"[92986, 213]","[213, 45]","[45, 16]","[16, 0]"
Information_Systems,"[146413, 49]","[49, 10]","[10, 4]","[4, 0]"
Information_Systems_and_Management,"[94723, 57]","[57, 12]","[12, 4]","[4, 0]"
Inorganic_Chemistry,"[141379, 179]","[179, 45]","[45, 18]","[18, 0]"
Insect_Science,"[39032, 108]","[108, 28]","[28, 11]","[11, 0]"
Instrumentation,"[8511, 96]","[96, 17]","[17, 6]","[6, 0]"
Internal_Medicine,"[53627, 95]","[95, 23]","[23, 9]","[9, 0]"
Issues_ethics_and_legal_aspects,"[14787, 29]","[29, 9]","[9, 4]","[4, 0]"
Language_and_Linguistics,"[31314, 40]","[40, 7]","[7, 3]","[3, 0]"
Legal,"[7006, 19]","[19, 4]","[4, 2]","[2, 0]"
Leadership_and_Management,"[472, 20]","[20, 6]","[6, 3]","[3, 0]"
Library_and_Information_Sciences,"[1773, 30]","[30, 9]","[9, 4]","[4, 0]"
Life_span_and_Life_course_Studies,"[340, 15]","[15, 5]","[5, 2]","[2, 0]"
Linguistics_and_Language,"[13618, 47]","[47, 9]","[9, 3]","[3, 0]"
Literature_and_Literary_Theory,"[17105, 35]","[35, 7]","[7, 3]","[3, 0]"
Management_Information_Systems,"[82058, 72]","[72, 13]","[13, 5]","[5, 0]"
Management_Monitoring_Policy_and_Law,"[30777, 51]","[51, 10]","[10, 4]","[4, 0]"
Management_of_Technology_and_Innovation,"[21795, 55]","[55, 12]","[12, 4]","[4, 0]"
Management_Science_and_Operations_Research,"[96627, 86]","[86, 18]","[18, 6]","[6, 0]"
Marketing,"[28794, 86]","[86, 16]","[16, 5]","[5, 0]"
Materials_Chemistry,"[240223, 279]","[279, 58]","[58, 20]","[20, 0]"
Mathematical_Physics,"[29924, 115]","[115, 24]","[24, 9]","[9, 0]"
Mechanical_Engineering,"[86739, 114]","[114, 24]","[24, 8]","[8, 0]"
Mechanics_of_Materials,"[53408, 103]","[103, 24]","[24, 8]","[8, 0]"
Media_Technology,"[36556, 50]","[50, 12]","[12, 5]","[5, 0]"
Medical_Laboratory_Technology,"[2057, 23]","[23, 6]","[6, 3]","[3, 0]"
Medical_Terminology,"[875, 16]","[16, 4]","[4, 2]","[2, 0]"
Metals_and_Alloys,"[8796, 99]","[99, 27]","[27, 11]","[11, 0]"
Microbiology,"[47512, 116]","[116, 32]","[32, 13]","[13, 0]"
Modeling_and_Simulation,"[38808, 112]","[112, 25]","[25, 10]","[10, 0]"
Molecular_Biology,"[312048, 397]","[397, 83]","[83, 29]","[29, 0]"
Molecular_Medicine,"[60600, 160]","[160, 47]","[47, 20]","[20, 0]"
Museology,"[24438, 20]","[20, 5]","[5, 2]","[2, 0]"
Music,"[6861, 41]","[41, 9]","[9, 3]","[3, 0]"
Nature_and_Landscape_Conservation,"[55906, 151]","[151, 33]","[33, 11]","[11, 0]"
Nephrology,"[127390, 145]","[145, 35]","[35, 14]","[14, 0]"
Neurology,"[99937, 190]","[190, 42]","[42, 15]","[15, 0]"
Neuropsychology_and_Physiological_Psychology,"[16678, 70]","[70, 17]","[17, 6]","[6, 0]"
Nuclear_and_High_Energy_Physics,"[1817189, 2291]","[2291, 154]","[154, 34]","[34, 0]"
Nuclear_Energy_and_Engineering,"[596, 28]","[28, 8]","[8, 3]","[3, 0]"
Numerical_Analysis,"[31606, 83]","[83, 19]","[19, 7]","[7, 0]"
Nutrition_and_Dietetics,"[51310, 130]","[130, 36]","[36, 14]","[14, 0]"
Obstetrics_and_Gynecology,"[40392, 121]","[121, 30]","[30, 11]","[11, 0]"
Occupational_Therapy,"[7897, 57]","[57, 13]","[13, 5]","[5, 0]"
Oceanography,"[51574, 175]","[175, 35]","[35, 12]","[12, 0]"
Ocean_Engineering,"[19144, 64]","[64, 15]","[15, 6]","[6, 0]"
Cancer_Biology,"[464866, 239]","[239, 54]","[54, 19]","[19, 0]"
Ophthalmology,"[54948, 132]","[132, 30]","[30, 11]","[11, 0]"
Oral_Surgery,"[30121, 94]","[94, 23]","[23, 9]","[9, 0]"
Organic_Chemistry,"[84621, 201]","[201, 50]","[50, 20]","[20, 0]"
Organizational_Behavior_and_Human_Resource_Management,"[65633, 101]","[101, 18]","[18, 6]","[6, 0]"
Orthodontics,"[36294, 111]","[111, 29]","[29, 11]","[11, 0]"
Orthopedics_and_Sports_Medicine,"[51343, 134]","[134, 34]","[34, 12]","[12, 0]"
Otorhinolaryngology,"[40795, 118]","[118, 29]","[29, 11]","[11, 0]"
Paleontology,"[26391, 166]","[166, 38]","[38, 14]","[14, 0]"
Parasitology,"[69565, 123]","[123, 32]","[32, 13]","[13, 0]"
Pathology_and_Forensic_Medicine,"[87770, 155]","[155, 39]","[39, 15]","[15, 0]"
Pediatrics_Perinatology_and_Child_Health,"[54088, 110]","[110, 26]","[26, 9]","[9, 0]"
